6677.6s 1 
6677.6s 2 This could be a false alarm, with some parameters getting used by language bindings but
6677.6s 3 then being mistakenly passed down to XGBoost core, or some parameter actually being used
6677.6s 4 but getting flagged wrongly here. Please open an issue if you find any such cases.
6677.6s 5 
6677.6s 6 
6677.6s 7 /opt/conda/lib/python3.7/site-packages/xgboost/sklearn.py:797: UserWarning: `eval_metric` in `fit` method is deprecated for better compatibility with scikit-learn, use `eval_metric` in constructor or`set_params` instead.
6677.6s 8 UserWarning,
6677.6s 9 [0]	validation_0-mlogloss:1.70836
6677.7s 10 [1]	validation_0-mlogloss:1.64573
6677.8s 11 [2]	validation_0-mlogloss:1.59517
6677.9s 12 [3]	validation_0-mlogloss:1.55253
6678.1s 13 [4]	validation_0-mlogloss:1.51551
6678.2s 14 [5]	validation_0-mlogloss:1.48271
6678.3s 15 [6]	validation_0-mlogloss:1.45322
6678.4s 16 [7]	validation_0-mlogloss:1.42640
6678.5s 17 [8]	validation_0-mlogloss:1.40180
6678.6s 18 [9]	validation_0-mlogloss:1.37907
6678.7s 19 [10]	validation_0-mlogloss:1.35797
6678.9s 20 [11]	validation_0-mlogloss:1.33828
6679.0s 21 [12]	validation_0-mlogloss:1.31985
6679.1s 22 [13]	validation_0-mlogloss:1.30254
6679.2s 23 [14]	validation_0-mlogloss:1.28623
6679.3s 24 [15]	validation_0-mlogloss:1.27085
6679.4s 25 [16]	validation_0-mlogloss:1.25629
6679.6s 26 [17]	validation_0-mlogloss:1.24250
6679.7s 27 [18]	validation_0-mlogloss:1.22941
6679.8s 28 [19]	validation_0-mlogloss:1.21696
6679.9s 29 [20]	validation_0-mlogloss:1.20510
6680.1s 30 [21]	validation_0-mlogloss:1.19379
6680.3s 31 [22]	validation_0-mlogloss:1.18300
6680.6s 32 [23]	validation_0-mlogloss:1.17268
6680.7s 33 [24]	validation_0-mlogloss:1.16280
6680.8s 34 [25]	validation_0-mlogloss:1.15334
6680.9s 35 [26]	validation_0-mlogloss:1.14427
6681.1s 36 [27]	validation_0-mlogloss:1.13556
6681.2s 37 [28]	validation_0-mlogloss:1.12720
6681.3s 38 [29]	validation_0-mlogloss:1.11916
6681.4s 39 [30]	validation_0-mlogloss:1.11142
6681.5s 40 [31]	validation_0-mlogloss:1.10398
6681.6s 41 [32]	validation_0-mlogloss:1.09681
6681.7s 42 [33]	validation_0-mlogloss:1.08989
6681.8s 43 [34]	validation_0-mlogloss:1.08323
6682.0s 44 [35]	validation_0-mlogloss:1.07679
6682.1s 45 [36]	validation_0-mlogloss:1.07058
6682.2s 46 [37]	validation_0-mlogloss:1.06458
6682.3s 47 [38]	validation_0-mlogloss:1.05879
6682.4s 48 [39]	validation_0-mlogloss:1.05318
6682.5s 49 [40]	validation_0-mlogloss:1.04776
6682.6s 50 [41]	validation_0-mlogloss:1.04251
6682.8s 51 [42]	validation_0-mlogloss:1.03743
6682.9s 52 [43]	validation_0-mlogloss:1.03251
6683.0s 53 [44]	validation_0-mlogloss:1.02774
6683.1s 54 [45]	validation_0-mlogloss:1.02312
6683.2s 55 [46]	validation_0-mlogloss:1.01864
6683.3s 56 [47]	validation_0-mlogloss:1.01429
6683.4s 57 [48]	validation_0-mlogloss:1.01007
